ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID
gulamera_0001,mctondano,ketarètarè simèdo tabelang,#	ka-tarè-tarè	si=	<um>èdo	tabelang,#	very-RDP-new	3SG.NOM=	<AV>take	hard.bamboo,Firstly he will take the hard bamboo.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,5210,8140,##	other	=pro.h:a_a	v:pred	np:p_a,,gulamera
gulamera_0002,mctondano,pasiwon ntangga,#	pa-siwo-en	ZERO	N=	tangga,#	DYN-do-PV	ZERO	INAN=	ladder,(He) makes a ladder.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,8340,10330,##	v:pred	0.h:a_u	=ln	np:p_u,,gulamera
gulamera_0003,mctondano,pasiwonala entangga tu irèdèimèè witu,#	pa-siwo-en	=na	=la	N=	tangga	#	tu	ZERO	i-rèdèi	ZERO	=mèè	witu,#	DYN-do-PV	=3SG.GEN	=DIR.PROX	INAN=	ladder	#	then	ZERO	CV-stand.up	ZERO	=DIR.MED	PREP2,"He makes a ladder. Then (he) leans (it) on,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,10630,13590,##	v:pred	=pro.h:a_u	=rv	=ln	np:p_u	##	other	0:p_u	v:pred	0.h:a_u	=rv	adp,,gulamera
gulamera_0004,mctondano,mm,N=,INAN=,the,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,15310,17110,=ln,,gulamera
gulamera_0005,mctondano,tabelang esa,tabelang	esa,hard.bamboo	one,the first piece of hard bamboo.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,17282,18801,np:l	rn,,gulamera
gulamera_0006,mctondano,tu wa'akesela,#	tu	ZERO	i-wa'akes	ZERO	=la,#	then	ZERO	CV-tie.with.string	ZERO	=DIR.PROX,Then (he) will tie (the hard bamboo) with string.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,18801,20513,##	other	0:p_u	v:pred	0.h:a_u	=rv,,gulamera
gulamera_0007,mctondano,sipaturu'enè nituama esa,#	si=	pa-turu'-en	=pè'	ni=	tuama	esa,#	3SG.NOM=	DYN-indicate-PV	=INCMP	AN.SG.GEN=	man	one,He is still being taught by the first man.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,21490,23830,##	=pro.h:p_u	v:pred	=rv	=ln	np.h:a_u	rn,,gulamera
gulamera_0008,mctondano,kaa simelelongkot itu entabelang,#	ka'a	si=	ma-Ce-longkot	witu	N=	tabelang,#	because	3SG.NOM=	AV.DYN-IRR-climb.up	PREP2	INAN=	hard.bamboo,"Because he will climb up the hard bamboo (ladder),",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,24860,27630,#ac	other	=pro.h:s	v:pred	adp	=ln	np:g,,gulamera
gulamera_0009,mctondano,ka'ayomèè witu,i-ka-ayo	=mèè	witu,CV.POT-arrive(until)	=DIR.DIST	PREP2,until (he) reaches...,en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,27770,29420,adp	=lv	lv,,gulamera
gulamera_0010,mctondano,entowana mbewèanè,N=	towana	#	N=	wewèan,INAN=	roof	#	INAN=	EXIST,"the 'roof' (i.e. the top of the tree), (where) there is,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,31510,35190,=ln	np:g	##	=ln	other:predex,,gulamera
